Entity Name,Address,City,Zip Code,Website
Freshly Baked NYC***,-,Long Island City,-,freshlybaked.nyc
Gaea's Garden**,134-24 Northern Blvd,Flushing,11354,gaeas.garden
Geneva Naturals LLC (dba Dryden Dispensary),2207 Dryden Rd,Dryden,13053,drydendispensary.com
Gold Leaf Cannabis,235 Fairview Ave,Hudson,12534,goldleafcannabis.com
Good Daze Dispensary,25306 Northern Blvd,Little Neck,11362,gooddaze.nyc
Good Grades, LLC,162-03 Jamaica Ave,Jamaica,11432,goodgradesnyc.com
Good Life Collective Finger Lakes,230 S Main St,Canandaigua,14424,goodlifeweed.com
Good Life Collective,155 Monroe Ave,Rochester,14607,goodlifeweed.com
Gotham Buds,248 W 125th St,New York,10027,gothambudsny.com
Gotham CAURD LLC,3 E 3rd St,New York,10003,gotham.nyc
Gotham Chelsea,146 10th Ave,New York,10011,gotham.nyc
Gotham Hudson,260 Warren St,Hudson,12534,gotham.nyc
Gotham Williamsburg,296 Kent Ave,Brooklyn,11249,gotham.nyc
Grams Cannabis**,360 Graham Ave,Brooklyn,11211,gramsbk.com
Grass & Goodness,1650 Crane St,Schenectady,12303,grassandgoodness.com
Grass Roots Wellness*,350 W Commercial St,East Rochester,14445,grassrootswellnessny.com
Gratitude Buds,814 NY-52,Fishkill,12524,gratitudebuds.com
Green Apple,572 Manhattan Ave,Brooklyn,11222,greenapple.nyc
Green Door Dispensary,3748 State Highway 37,Ogdensburg,13669,thegreendoordispensary.com
Green Flower Wellness Floral Park,270-01 Hillside Ave,Queens,11064,greenflowerwellness.com
Green Flower Wellness Oakland Gardens,214-24 73rd Ave,Oakland Gardens,11364,greenflowerwellness.com
Green Genius NYC,214 3rd Ave,New York,10003,greengeniusnyc.com
Green Leaf Cannabis & Wellness,1400 Route 300,Newburgh,12550,greenleafny.co
Green Philosophy 716,101 Slade Ave,West Seneca,14224,gp716.com
Green Sun (dba Hibernica),3220 Westchester Ave,Bronx,10461,shophibernica.com
GreenCup,95-38 Queens Blvd,Rego Park,11374,greencup.nyc
Greenery Spot LLC,246 Main St,Johnson City,13790,greeneryspot.com
Greenlakes Dispo,714 W Ridge Rd,Rochester,14615,Website coming soon
Greens Greenery,54 State Highway 357,Unadilla,13849,greensgreenery.com
Grounded,3665 Albany Post Rd,Poughkeepsie,12601,hvgrounded.com
Grow Together,2370 Coney Island Ave,Brooklyn,11223,bkdispensary.com
Guardian Wellness,2500 Arthur Ave,Bronx,10458,guardianwellnessretail.com
Happy Days Dispensary, Inc.,105 Route 109,Farmingdale,11735,happydaysli.com
Happy Goat Dispensary,1330 Mount Hope Ave,Rochester,14620,happygoatdispensary.com
Happy Munkey,151 Dyckman St,New York,10040,happymunkey.com
Happy Munkey Brooklyn,453 Fulton St,Brooklyn,11201,happymunkey.com
Happy Times Cannabis Co.,3807 Harlem Rd,Cheektowaga,14215,happytimescannabis.com
Happy Times Cannabis Co. Niagara Falls,7560 Niagara Falls Blvd,Niagara Falls,14304,Website coming soon
Hazy Daze,332 Broad St,Waverly,13743,hazydaze.store
Hells Kitchen Cannabis Company**,356 W 40th St,New York,10018,hkcc.nyc
Herb-Z,109 E Taft Rd,North Syracuse,13212,herb-z.com
Herbal IQ,6300 Transit Rd,Depew,14043,herbaliq.org
Herbal Woodstock,17 Tinker St,Woodstock,12498,herbalwoodstock.com
Herbalwai,6970 Transit Rd,Amherst,14221,herbalwai.com
Herbarium Queens,465 Onderdonk Ave,Ridgewood,11385,herbarium.la
Herbology,304 Ellery St,Brooklyn,11206,herbologynyc.com
Herbwell Cannabis Bronx,372 E Fordham Rd,Bronx,10458,herbwellcannabis.com
Herbwell Cannabis Manhattan,519 Madison Ave,New York,10022,herbwellcannabis.com
High Dankery,7815 3rd Ave,Brooklyn,11209,highdankery.com
High Falls Garden**,121B Commercial St,Theresa,13691,Website coming soon
High Peaks Canna,137 Maple Ave,Saratoga Springs,12866,highpeakscanna.com
High Points Dispensary,811 Canandaigua Rd,Geneva,14456,highpointsdispensary.net
High Society Dispensary,345 Main St, Suite 2,Hudson Falls,12839,dutchie.com/stores/high-society-dispensary-hudson-falls
High Stone,1938 Clove Rd,Staten Island,10304,highstone.nyc
High Tide Dispensary,1829 Como Park Blvd,Lancaster,14086,hightide716.com
High Tidez,1029 Surf Ave,Brooklyn,11224,hightidezci.com
Higher Tolerance,121 South Pearl St,Albany,12207,highertolerance.com
HighLife Health,19 Huguenot St,New Rochelle,10801,highlifehealth.co
Hold Up Roll Up, LLC,196 Washington Ave,Albany,12210,holduprollup.com
Holy Buds***,-,Farmingdale,-,holybuds.net
Honey Kenmore (Nickel City Green LLC),2981 Delaware Ave,Kenmore,14217,honeykenmore.com
Hornbill,224 1st Ave,New York,10009,hornbillnyc.com
House of Strains,161-05 29th Ave,Flushing,11358,houseofstrains.com
Housing Works Cannabis Co NoMad,846 Sixth Ave,New York,10001,hwcannabis.co
Housing Works Cannabis, LLC,750 Broadway,New York,10003,hwcannabis.co
Hudson & Main Cannabis Company,3873 Main St,Warrensburg,12885,hudsonmaincannabis.com
Hudson Valley Jane**,544 Main St,Beacon,12508,hudsonvalleyjane.com
Humble County LLC (dba 420 Bliss),740 Hoosick Rd,Troy,12180,420-bliss.com
IGNYTE,145-18 14th Ave,Whitestone,11357,ignyteny.com
Ignyte Red Hook,387 Van Brunt St,Brooklyn,11231,ignyteny.com
Indoor Treez,584 8th Ave,New York,10018,indoortreez.net
Innocence Cannabis**,6730 Lake Rd,Appleton,14008,innocence.buzz
JFK Cannabis,175-01 Rockaway Blvd,Jamaica,11434,jfkcannabis.com
Joe's Buds,4658 Onondaga Blvd,Syracuse,13219,joesbudsny.com
Joint Jungle,187 Mill St,Liberty,12754,jointjungleny.com
Jungle Kingdom Flower,515 Nostrand Ave,Brooklyn,11216,junglekingdomflower.com
Juniper NY LLC (dba SOFACLUB),229 Avenue B,New York,10009,sofaclub.nyc
Jupiter Cafe,172 N Union St,Olean,14760,jupitercafeny.com
Just A Little Higher Murray Hill,698 2nd Ave,New York,10016,justalittlehigher.com
Just A Little Higher Queens,2415 Queens Plza N, Unit NR1,Long Island City,11101,justalittlehigher.com
Just a Little Higher***,-,Queens,-,justalittlehigher.com
Just Breathe,75 Court St,Binghamton,13901,justbreathelife.org
Just Breathe Fingerlakes,2988 US Route 20,Seneca Falls,13148,justbreatheflx.com
Just Breathe Syracuse,185 W Seneca St,Manlius,13104,dutchie.com/dispensary/just-breathe-syracuse
Kaya Bliss Brooklyn Heights,64 Henry St,Brooklyn,11201,kayablissnyc.com
Kaya Bliss Dispensary,8412 3rd Ave,Brooklyn,11209,kayablissnyc.com
Kings House of Fire,3006 E Main St,Cortlandt Manor,10567,kingshouseoffire.com
Knotweed Farm*,87 East Front St,Hancock,13783,knotweedfarm.com
KushKlub NYC,186 Orchard St,New York,10002,kushklub.com
Kushmart,1413 Kings Hwy,Brooklyn,11229,kushmart.com
Kushmart Lancaster,5211 Broadway, Ste 300,Lancaster,14086,kushmart.com
LA FFOCA,1618 18th St,Niagara Falls,14305,laffoca.com
LakeHouse Cannabis,156 Clinton Ave,Cortland,13045,lakehousecannabis.com
Late Bloomers NYC LLC,57-01 Myrtle Ave,Ridgewood,11385,latebloomers-nyc.com
Leaf Plug,3341 Sheridan Dr,Amherst,14226,leafplug.com
Leafology Cannabis Company,244 Main St,White Plains,10601,leafologycannabiscompany.com
Leafy Peaks,27 B Saratoga Ave,Waterford,12188,leafypeaks.com
Leafy Wonders LLC,956 South 1st St,Fulton,13069,leafywonders.com
Legacy Dispensary,1839 Central Ave,Albany,12205,legacy-dispensary.com
Liberty Buds,1115 1st Ave,New York,10065,libertybudsnyc.com
Lifted,320 North Main St,Jamestown,14701,liftedispensary.com
Lighthouse Cannabis,381 Broadway,New York,10013,lighthousecannabis.nyc
Liquid Monkey Dispensary,177 Fluvanna Ave,Jamestown,14701,Website coming soon
Lively Harvest**,75 Bridge Street,Margaretville,12455,livelyharvestny.com
Long Island Cannabis Club,94 East Industry Ct,Deer Park,11729,cannabisclubli.com
LotusWorks Wellness**,261 Main St,Beacon,12508,lotusworkswellness.com
Loudpack Exotics,6606 Kinne Rd,Syracuse,13214,loudpackexotics.com
Lucky Green Ladies,365 S Wall St,Kingston,12401,luckygreenladies.com
Luxus Botanica,8234 Turin Rd, Ste 1,Rome,13440,luxusbotanica.com
Mammoth Cannabis,212 Ohio St,Buffalo,14204,mammothcanna.com
Mango Cannabis,3553 West Henrietta Rd,Rochester,14623,mangocannabis.com
Mary Jane Cannabis Co.,799 Lexington Ave,New York,10065,maryjanecannabisco.com
Mary Janes - A Legacy 2 Legal Dispensary,2179 Sheridan Dr,Tonawanda,14223,maryjaneswny.com
Matawana Dispensary,533 5th Ave,Brooklyn,11215,matawanany.com
Midnight Moon,1536 Amsterdam Ave,New York,10031,midnightmoon.nyc
Mighty Lucky Inc,259 Bowery,New York,10002,mighty-lucky.com
Mindset Cannabis Shop,51 Main St,Tarrytown,10591,mindsettarrytown.com
Misfits Dispensary,420 Jefferson Rd, Ste 2,Rochester,14623,misfitsdispensary.com
Misha's Flower Shop,299 Knickerbocker Ave,Brooklyn,11237,mishasflowershop.com
Mister Greens,81 Wolf Rd,Colonie,12205,mistergreensny.com
Misty Bleu Farm LLC (dba 400 River Dispensary)**,400 River St,Troy,12180,400rivertroy.com
MJ Dispensary,900 Jefferson Rd, Ste 902,Rochester,14623,mjdispensary585.com
Mr Good Vybz,25 N Pearl St,Albany,12207,mrgoodvbyz.com
Mrs. Green CANNAry,204 E. Main St,Batavia,14020,mrsgreenscannary.com
Munchies Dispensary,8701 Rockaway Beach Blvd,Rockaway Beach,11693,munchiesdispensaryny.com
My Bud 420,1798 E Tremont Ave,Bronx,10460,mybud420.com
Native Haze Cannabis Co,1503 Canandaigua Rd, Suite 3B & C,Macedon,14502,nativehaze.com
New Amsterdam NYC,245 W 14th St,New York,10011,newamsterdam.nyc
New York City Cannabis Exchange,248-09 Jericho Turnpike,Bellerose,11426,nycce.co
Nice Yield,10-50 Jackson Ave,Long Island City,11101,niceyield.com
Nicklz,797 8th Ave,New York,10019,nicklzny.com
No Name Cannabis Co.,137 4th St,Troy,12180,nonamecannabiscompany.com
North County Roots, Inc. (dba Elevate ADK),622 Lake Flower Ave, Ste 7,Saranac Lake,12983,elevateadk.com
Northern Lights Dispensary,51 Main St,Canton,13617,nynorthernlights.com
Northern Lights NY,90 Broadway, Spc 8,Menands,12204,nldispo.com
NSH LLC,2280 Flatbush Ave,Brooklyn,11234,Website coming soon
Nucleus Dispensary,1819 2nd Avenue,New York,10128,nucleusdispensary.com
NUG Yonkers,2371 Central Park Ave,Yonkers,10710,nug.com/nug-cannabis-yonkers
NUGHUB NY,1350 Forest Ave,Staten Island,10302,nughubny.com
Nuna Harvest,696 Locust St,Mt Vernon,11552,nunaharvest.com
NY Cannabis Co. 5th Ave,381 5th Avenue,New York,10016,nycannabisco.com
NY Cannabis Co.,743 9th Ave,New York,10019,nycannabisco.com
NY Elite Cannabis,4215 Bell Blvd,Bayside,11361,nyelitecannabis.com
NYCBUD,44-45 Vernon Blvd,Long Island City,11101,nycbud.com
NYCBUD Midtown,405 West 39th St,New York,10018,nycbud.com
OC Dispensary,769 Franklin Ave,Brooklyn,11238,ocdispensary.co
Orange County Cannabis Co.,1308 Dolsontown Rd, Ste 3 & 4,Wawayanda,10940,orangecountycannabisco.com
P. Nuggs,4171 State Route 11, Ste 2,Malone,12953,pnuggs.com
Paint, Puff 'n Peace,2119 Frederick Douglass Blvd,New York,10026,Website coming soon
Peace, Love, & Bud,320 S Transit St,Lockport,14094,plbud.com
Phenos**,69 Allen St,Buffalo,14202,phenosnewyork.com
Planet Nugg,2043 Wellwood Ave,Farmingdale,11735,planetnugg.com
Platinum Leaf,196 Rock Hill Dr,Rock Hill,12775,theplatinumleaf.com
Polanco Brothers Ridgewood,6633 Fresh Pond Rd,Ridgewood,11385,polancobrothersridgewood.com
Premier Earth Corp.,1297 Hertel Ave,Buffalo,14216,premierearth.com
Public Flower,232 Allen St,Buffalo,14201,publicflower.co
Pure Wellness Dispensary,360 W Ridge Rd,Rochester,14615,Website coming soon
Puro Vita,288 Flushing Ave,Brooklyn,11205,purovita.com
Purple Owl Dispensary,405 Mamaroneck Ave,White Plains,10605,thepurpleowldispensary.com
Purple Plains,32 Westchester Ave,Pound Ridge,10576,purpleplains.com
Q Dispensary,733 Flatbush Ave,Brooklyn,11226,qiscannabis.com
Quality Control Dispensary,3169 Coney Island Ave,Brooklyn,11235,qualitycontroldispensary.com
Quality High Farm & Dispensary*,25 Beekman Ave,Sleepy Hollow,10591,qualityhigh.com
Quality Roots,330 Tompkins Ave,Brooklyn,11216,qualityroots.nyc
Qube,1412 Broadway,New York,10018,qubenyc.com
Raven Dispensaries LLC (dba Raven's Joint),4106 NY-31, Ste 903,Clay,13041,ravensjoint.com
Reef Dispensary,2532 Route 9N,Greenfield Center,12833,reef-dispensary.com
RENAISSAÑT NYC,40-07 A Queens Blvd,Sunnyside,11104,renaissant.nyc
Ripe Cannabis,245 Broadway, Suite 4,Schenectady,12305,ripecannabisny.com
RISE Dispensary East Syracuse,6701 Manlius Center Rd,East Syracuse,13057,risecannabis.com
RISE Dispensary Halfmoon,1675 Route 9,Halfmoon,12065,risecannabis.com
Riverbend Dispensary,531 Warren St,Hudson,12434,riverbenddispensary.com
RNR Dispensary,21 Gardner Ave,Brooklyn,11237,rnrdispensary.com
Robinson's Cannabis,106 Everett Rd,Albany,12205,dutchie.com/dispensary/robinsons-flower
ROC Dispensary**,324 Jefferson Rd,Rochester,14623,rochester420.com
Rochester's Finest Cannabis Dispensary,74 Lake Ave,Rochester,14608,rochestersfinestcannabis.com
